a,b,c
1916,WIF,0
1916,AUT,0
1916,BMU,0
1916,VNM,0
1916,VGB,0
1916,MKD,0
1916,SDN,0
1916,BHR,0
1916,GRD,0
1916,LKA,0
1916,MUS,0
1916,SRB,0
1916,HKG,0
1916,CYP,0
1916,PAN,0
1916,ZMB,0
1916,MCO,0
1916,MOZ,0
1916,SUR,0
1916,AFG,0
1916,BDI,0
1916,GAB,0
1916,ECU,0
1916,CRI,0
1916,DJI,0
1916,ERI,0
1916,BRB,0
1916,TON,0
1920,DNK,71
1920,FIN,52
1920,NOR,137
1920,NLD,50
1920,FRA,141
1920,ITA,84
1920,ESP,23
1920,AZE,0
1920,RUS,0
1920,BLR,0
1920,CMR,0
1920,USA,194
1920,HUN,0
1920,GRC,5
1920,AUS,7
1920,IRN,0
1920,CAN,16
1920,PAK,0
1920,RUS,0
1920,UZB,0
1920,TJK,0
1920,RUS,0
1920,JPN,3
1920,ETH,0
1920,CHE,29
1920,DEU,0
1920,SWE,154
1920,ZAF,21
1920,TUR,0
1920,BGR,0
1920,EGY,0
1920,GBR,111
1920,JOR,0
1920,ROU,0
1920,PRI,0
1920,MEX,0
1920,GHA,0
1920,MAR,0
1920,NZL,1
1920,DEU,0
1920,ARG,0
1920,CUB,0
1920,URY,0
1920,POL,0
1920,CZE,10
1920,NER,0
1920,BRA,7
1920,AUT,0
1920,LTU,0
1920,IDN,0
1920,CHL,0
1920,UKR,0
1920,UGA,0
1920,SYR,0
1920,QAT,0
1920,KUW,0
1920,SSD,0
1920,SAU,0
1920,ARE,0
1920,HRV,0
1920,DEU,0
1920,ARM,0
1920,SRB,0
1920,NGA,0
1920,IND,0
1920,BEL,188
1920,DZA,0
1920,JAM,0
1920,TTO,0
1920,COL,0
1920,LUX,1
1920,BWA,0
1920,TUN,0
1920,KOR,0
1920,PRK,0
1920,CHN,0
1920,BIH,0
1920,GUY,0
1920,ISR,0
1920,KAZ,0
1920,GEO,0
1920,KEN,0
1920,ISL,0
1920,HTI,0
1920,MYS,0
1920,IRQ,0
1920,CZE,0
1920,SVK,0
1920,BHS,0
1920,AUS,0
1920,PRY,0
1920,MNE,0
1920,IRL,0
1920,PRT,0
1920,GTM,0
1920,SRB,0
1920,TZA,0
1920,LBN,0
1920,KGZ,0
1920,LVA,0
1920,NLD,0
1920,VEN,0
1920,THA,0
1920,TGO,0
1920,PER,0
1920,EST,3
1920,SVN,0
1920,NPL,0
1920,CHN,0
1920,ZWE,0
1920,MNG,0
1920,MDA,0
1920,CIV,0
1920,FJI,0
1920,SEN,0
1920,DOM,0
1920,PHL,0
1920,EGY,0
1920,SGP,0
1920,NAM,0
1920,LIE,0
1920,WIF,0
1920,AUT,0
1920,BMU,0
1920,VNM,0
1920,VGB,0
1920,MKD,0
1920,SDN,0
1920,BHR,0
1920,GRD,0
1920,LKA,0
1920,MUS,0
1920,SRB,0
1920,HKG,0
1920,CYP,0
1920,PAN,0
1920,ZMB,0
1920,MCO,0
1920,MOZ,0
1920,SUR,0
1920,AFG,0
1920,BDI,0
1920,GAB,0
1920,ECU,0
1920,CRI,0
1920,DJI,0
1920,ERI,0
1920,BRB,0
1920,TON,0
1924,DNK,14
1924,FIN,67
1924,NOR,39
1924,NLD,27
1924,FRA,120
1924,ITA,51
1924,ESP,0
1924,AZE,0
1924,RUS,0
1924,BLR,0
1924,CMR,0
1924,USA,194
1924,HUN,22
1924,GRC,1
1924,AUS,11
1924,IRN,0
1924,CAN,29
1924,PAK,0
1924,RUS,0
1924,UZB,0
1924,TJK,0
1924,RUS,0
1924,JPN,1
1924,ETH,0
1924,CHE,69
1924,DEU,0
1924,SWE,81
1924,ZAF,3
1924,TUR,0
1924,BGR,0
1924,EGY,0
1924,GBR,95
1924,JOR,0
1924,ROU,16
1924,PRI,0
1924,MEX,0
1924,GHA,0
1924,MAR,0
1924,NZL,1
1924,DEU,0
1924,ARG,10
1924,CUB,0
1924,URY,14
1924,POL,5
1924,CZE,10
1924,NER,0
1924,BRA,0
1924,AUT,8
1924,LTU,0
1924,IDN,0
1924,CHL,0
1924,UKR,0
1924,UGA,0
1924,SYR,0
1924,QAT,0
1924,KUW,0
1924,SSD,0
1924,SAU,0
1924,ARE,0
1924,HRV,0
1924,DEU,0
1924,ARM,0
1924,SRB,0
1924,NGA,0
1924,IND,7
1924,BEL,44
1924,DZA,0
1924,JAM,0
1924,TTO,0
1924,COL,0
1924,LUX,2
1924,BWA,0
1924,TUN,0
1924,KOR,0
1924,PRK,0
1924,CHN,0
1924,BIH,2
1924,GUY,0
1924,ISR,0
1924,KAZ,0
1924,GEO,0
1924,KEN,0
1924,ISL,0
1924,HTI,5
1924,MYS,0
1924,IRQ,0
1924,CZE,0
1924,SVK,0
1924,BHS,0
1924,AUS,0
1924,PRY,0
1924,MNE,0
1924,IRL,2
1924,PRT,4
1924,GTM,0
1924,SRB,0
1924,TZA,0
1924,LBN,0
1924,KGZ,0
1924,LVA,0
1924,NLD,0
1924,VEN,0
1924,THA,0
1924,TGO,0
1924,PER,0
1924,EST,6
1924,SVN,0
1924,NPL,1
1924,CHN,0
1924,ZWE,0
1924,MNG,0
1924,MDA,0
1924,CIV,0
1924,FJI,0
1924,SEN,0
1924,DOM,0
1924,PHL,0
1924,EGY,0
1924,SGP,0
1924,NAM,0
1924,LIE,0
1924,WIF,0
1924,AUT,0
1924,BMU,0
1924,VNM,0
1924,VGB,0
1924,MKD,0
1924,SDN,0
1924,BHR,0
1924,GRD,0
1924,LKA,0
1924,MUS,0
1924,SRB,0
1924,HKG,0
1924,CYP,0
1924,PAN,0
1924,ZMB,0
1924,MCO,1
1924,MOZ,0
1924,SUR,0
1924,AFG,0
1924,BDI,0
1924,GAB,0
1924,ECU,0
1924,CRI,0
1924,DJI,0
1924,ERI,0
1924,BRB,0
1924,TON,0
1928,DNK,15
1928,FIN,29
1928,NOR,24
1928,NLD,57
1928,FRA,52
1928,ITA,72
1928,ESP,3
1928,AZE,0
1928,RUS,0
1928,BLR,0
1928,CMR,0
1928,USA,102
1928,HUN,21
1928,GRC,0
1928,AUS,4
1928,IRN,0
1928,CAN,45
1928,PAK,0
1928,RUS,0
1928,UZB,0
1928,TJK,0
1928,RUS,0
1928,JPN,9
1928,ETH,0
1928,CHE,42
1928,DEU,0
1928,SWE,53
1928,ZAF,6
1928,TUR,0
1928,BGR,0
1928,EGY,4
1928,GBR,59
1928,JOR,0
1928,ROU,0
1928,PRI,0
1928,MEX,0
1928,GHA,0
1928,MAR,0
1928,NZL,1
1928,DEU,82
1928,ARG,26
1928,CUB,0
